profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
current_d1_d2_visible,holdout,current_yes,2200,14,36,0.6871340909090909,1511.6950000000002,-44.69499999999999,-0.029566149256298385,0.6668181818181819,0.6668181818181819,0.21363636363636362,0.08818181818181818,0.031363636363636364,0.0,"[0.0, 0.0]",0
current_d1_d2_visible,holdout,d1_no,2257,14,36,0.7947793531236155,1793.817,-41.81699999999999,-0.023311742502161586,0.7762516614975631,0.6508639787328312,0.22374833850243686,0.09038546743464776,0.035002215330084185,0.005837672375310979,"[-0.018352930303943492, 0.030745074150802135]",3000
current_d1_d2_visible,holdout,d2_no,2257,14,36,0.9257315019937972,2089.376,-36.376,-0.01740998269339745,0.9096145325653522,0.6508639787328312,0.22374833850243686,0.09038546743464776,0.035002215330084185,0.013231710811156875,"[-0.021297622273790534, 0.04387339958818541]",3000
current_d1_d2_visible,holdout,no_ladder,2257,14,36,1.7205108551174126,3883.193,-78.19299999999998,-0.020136264151691657,0.6867523260965884,0.6508639787328312,0.22374833850243686,0.09038546743464776,0.035002215330084185,0.00979393677250981,"[-0.015474105996193553, 0.03500848989124546]",3000
current_d1_d2_visible,new_2026_06_10_14,current_yes,709,5,36,0.6720888575458391,476.51099999999997,2.4890000000000025,0.00522338414013528,0.6755994358251057,0.6755994358251057,0.20451339915373765,0.0930888575458392,0.02679830747531735,0.0,"[0.0, 0.0]",0
current_d1_d2_visible,new_2026_06_10_14,d1_no,733,5,36,0.789450204638472,578.667,-4.666999999999998,-0.008065087520110871,0.7830832196452933,0.6534788540245566,0.21691678035470668,0.09822646657571624,0.03137789904502047,-0.012405471170131051,"[-0.059259592393825, 0.0477411248892448]",3000
current_d1_d2_visible,new_2026_06_10_14,d2_no,733,5,36,0.9163424283765348,671.679,-10.678999999999998,-0.015898963641858683,0.9017735334242838,0.6534788540245566,0.21691678035470668,0.09822646657571624,0.03137789904502047,-0.018980173189921387,"[-0.09336352775710306, 0.042455412620118496]",3000
current_d1_d2_visible,new_2026_06_10_14,no_ladder,733,5,36,1.7057926330150068,1250.346,-15.345999999999995,-0.01227340272212651,0.684856753069577,0.6534788540245566,0.21691678035470668,0.09822646657571624,0.03137789904502047,-0.015918856207240775,"[-0.0660190656467601, 0.03790123675229519]",3000
current_d1_d2_visible,all,current_yes,4114,27,36,0.6767902284880893,2784.3149999999996,-84.31499999999997,-0.030282134025783714,0.6562955760816723,0.6562955760816723,0.21511910549343705,0.095770539620807,0.032814778804083615,0.0,"[0.0, 0.0]",0
current_d1_d2_visible,all,d1_no,4210,27,36,0.796887648456057,3354.897,-81.89699999999999,-0.024411181624950033,0.7774346793349168,0.6429928741092636,0.22256532066508314,0.09738717339667459,0.03705463182897862,0.005553316197017058,"[-0.009563454356104659, 0.021759680352973928]",3000
current_d1_d2_visible,all,d2_no,4210,27,36,0.9238591448931117,3889.447,-89.44699999999997,-0.022997356693637932,0.9026128266033254,0.6429928741092636,0.22256532066508314,0.09738717339667459,0.03705463182897862,0.008473720736682882,"[-0.01295490597122491, 0.028795216432709655]",3000
current_d1_d2_visible,all,no_ladder,4210,27,36,1.7207467933491687,7244.344,-171.34399999999997,-0.023652107078294456,0.6807600950118765,0.6429928741092636,0.22256532066508314,0.09738717339667459,0.03705463182897862,0.0071145206090632886,"[-0.008817493467313121, 0.023222096963331818]",3000
fade_high_current_yes,train,current_yes,789,13,36,0.9628707224334602,759.705,-2.7049999999999947,-0.0035605925984428096,0.9594423320659062,0.9594423320659062,0.03802281368821293,0.0025348542458808617,0.0,0.0,"[0.0, 0.0]",0
fade_high_current_yes,train,d1_no,789,13,36,0.9695107731305449,764.944,-5.9439999999999955,-0.007770503461691308,0.9619771863117871,0.9594423320659062,0.03802281368821293,0.0025348542458808617,0.0,-0.004209910863248496,"[-0.008788201107676202, 0.0019718344241828278]",3000
fade_high_current_yes,train,d2_no,532,13,36,0.9936484962406015,528.621,1.3790000000000022,0.0026086742675754506,0.9962406015037594,0.9473684210526315,0.04887218045112782,0.0037593984962406013,0.0,0.0052050899473930585,"[-0.012190888496715773, 0.023852418980886282]",3000
fade_high_current_yes,train,no_ladder,532,13,36,1.9533383458646616,1039.176,-3.175999999999994,-0.003056267658221508,0.9473684210526315,0.9473684210526315,0.04887218045112782,0.0037593984962406013,0.0,-0.00045985197840389984,"[-0.010785878712367037, 0.010484158794356001]",3000
fade_high_current_yes,holdout,current_yes,956,13,36,0.9635669456066945,921.17,1.830000000000007,0.00198660399274836,0.9654811715481172,0.9654811715481172,0.032426778242677826,0.0020920502092050207,0.0,0.0,"[0.0, 0.0]",0
