city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
Manila,2026-06-23,10,True,1.0,1.0,0.0,11.0,30.733333333333334,1.0888888888888921,0.048,d2_yes,2,33,0.35,24.41,0.39,0.002,0.8497191011235955
Manila,2026-06-23,10,True,1.0,1.0,0.0,11.0,30.733333333333334,1.0888888888888921,0.048,tail_yes,6,37,0.003,37.24,0.001,0.002,0.8497191011235955
Manila,2026-06-23,10,True,1.0,1.0,0.0,11.0,30.733333333333334,1.0888888888888921,0.048,current_bracket_no,-1,31,0.962,,,,0.8497191011235955
Wellington,2026-06-23,14,True,0.0,,-1.8000000000000045,,30.733333333333334,,0.999,d1_yes,1,15,0.024,123.11,0.001,0.003,0.8019662921348315
Wellington,2026-06-23,14,True,0.0,,-1.8000000000000045,,30.733333333333334,,0.999,d2_yes,2,16,0.002,34.02,0.001,0.002,0.8019662921348315
Wellington,2026-06-23,14,True,0.0,,-1.8000000000000045,,30.733333333333334,,0.999,current_bracket_no,-1,14,0.02,,0.002,0.002,0.8019662921348315
Wuhan,2026-06-23,10,True,2.0,,1.8000000000000114,,30.733333333333334,,0.39,d1_yes,1,24,0.48,6.18,0.6,0.53,0.4747191011235955
Wuhan,2026-06-23,10,True,2.0,,1.8000000000000114,,30.733333333333334,,0.39,d2_yes,2,25,0.13,9.09,0.998,0.24,0.4747191011235955
Wuhan,2026-06-23,10,True,2.0,,1.8000000000000114,,30.733333333333334,,0.39,tail_yes,5,28,0.002,18.78,0.001,0.002,0.4747191011235955
Wuhan,2026-06-23,10,True,2.0,,1.8000000000000114,,30.733333333333334,,0.39,current_bracket_no,-1,23,0.62,,0.61,0.74,0.4747191011235955
Busan,2026-06-23,11,True,3.0,2.0,0.0,9.02,30.733333333333334,1.7888888888888879,0.032,d1_yes,1,22,0.24,71.0,0.07,0.058,0.22331460674157302
Busan,2026-06-23,11,True,3.0,2.0,0.0,9.02,30.733333333333334,1.7888888888888879,0.032,d2_yes,2,23,0.39,5.0,0.38,0.42,0.22331460674157302
Busan,2026-06-23,11,True,3.0,2.0,0.0,9.02,30.733333333333334,1.7888888888888879,0.032,tail_yes,7,28,0.003,16.0,0.002,0.003,0.22331460674157302
Busan,2026-06-23,11,True,3.0,2.0,0.0,9.02,30.733333333333334,1.7888888888888879,0.032,current_bracket_no,-1,21,0.986,,0.995,0.999,0.22331460674157302
